código;descrição
0;Não informado
1113;Cultivo de Cereais
1121;Cultivo de Algodão Herbáceo e de Outras Fibras de Lavoura Temporária
1130;Cultivo de Cana-De-Açúcar
1148;Cultivo de Fumo
1156;Cultivo de Soja
1164;Cultivo de Oleaginosas de Lavoura Temporária, Exceto Soja
1199;Cultivo de Plantas de Lavoura Temporária não Especificadas Anteriormente
1211;Horticultura
1229;Cultivo de Flores e Plantas Ornamentais
1318;Cultivo de Laranja
1326;Cultivo de Uva
1334;Cultivo de Frutas de Lavoura Permanente, Exceto Laranja e Uva
1342;Cultivo de Café
1351;Cultivo de Cacau
1393;Cultivo de Plantas de Lavoura Permanente não Especificadas Anteriormente
1415;Produção de Sementes Certificadas
1423;Produção de Mudas e Outras Formas de Propagação Vegetal, Certificadas
1512;Criação de Bovinos
1521;Criação de Outros Animais de Grande Porte
1539;Criação de Caprinos e Ovinos
1547;Criação de Suínos
1555;Criação de Aves
1598;Criação de Animais não Especificados Anteriormente
1610;Atividades de Apoio à Agricultura
1628;Atividades de Apoio à Pecuária
1636;Atividades de Pós-Colheita
1709;Caça e Serviços Relacionados
2101;Produção Florestal - Florestas Plantadas
2209;Produção Florestal - Florestas Nativas
2306;Atividades de Apoio à Produção Florestal
3116;Pesca em água Salgada
3124;Pesca em água Doce
3213;AqüIcultura em água Salgada e Salobra
3221;AqüIcultura em água Doce
5003;Extração de Carvão Mineral
6000;Extração de Petróleo e Gás Natural
7103;Extração de Minério de Ferro
7219;Extração de Minério de Alumínio
7227;Extração de Minério de Estanho
7235;Extração de Minério de Manganês
7243;Extração de Minério de Metais Preciosos
7251;Extração de Minerais Radioativos
7294;Extração de Minerais Metálicos Não-Ferrosos não Especificados Anteriormente
8100;Extração de Pedra, Areia e Argila
8916;Extração de Minerais para Fabricação de Adubos, Fertilizantes e Outros Produtos Químicos
8924;Extração e Refino de Sal Marinho e Sal-Gema
8932;Extração de Gemas (Pedras Preciosas e Semipreciosas)
8991;Extração de Minerais Não-Metálicos não Especificados Anteriormente
9106;Atividades de Apoio à Extração de Petróleo e Gás Natural
9904;Atividades de Apoio à Extração de Minerais, Exceto Petróleo e Gás Natural
10112;Abate de Reses, Exceto Suínos
10121;Abate de Suínos, Aves e Outros Pequenos Animais
10139;Fabricação de Produtos de Carne
10201;Preservação do Pescado e Fabricação de Produtos do Pescado
10317;Fabricação de Conservas de Frutas
10325;Fabricação de Conservas de Legumes e Outros Vegetais
10333;Fabricação de Sucos de Frutas, Hortaliças e Legumes
10414;Fabricação de óleos Vegetais em Bruto, Exceto óleo de Milho
10422;Fabricação de óleos Vegetais Refinados, Exceto óleo de Milho
10431;Fabricação de Margarina e Outras Gorduras Vegetais e de óleos Não-Comestíveis de Animais
10511;Preparação do Leite
10520;Fabricação de Laticínios
10538;Fabricação de Sorvetes e Outros Gelados Comestíveis
10619;Beneficiamento de Arroz e Fabricação de Produtos do Arroz
10627;Moagem de Trigo e Fabricação de Derivados
10635;Fabricação de Farinha de Mandioca e Derivados
10643;Fabricação de Farinha de Milho e Derivados, Exceto óleos de Milho
10651;Fabricação de Amidos e Féculas de Vegetais e de óleos de Milho
10660;Fabricação de Alimentos para Animais
10694;Moagem e Fabricação de Produtos de Origem Vegetal não Especificados Anteriormente
10716;Fabricação de Açúcar em Bruto
10724;Fabricação de Açúcar Refinado
10813;Torrefação e Moagem de Café
10821;Fabricação de Produtos à Base de Café
10911;Fabricação de Produtos de Panificação
10929;Fabricação de Biscoitos e Bolachas
10937;Fabricação de Produtos Derivados do Cacau, de Chocolates e Confeitos
10945;Fabricação de Massas Alimentícias
10953;Fabricação de Especiarias, Molhos, Temperos e Condimentos
10961;Fabricação de Alimentos e Pratos Prontos
